Location,Consumption (GWh),Year,Source,Population,As of,Consumption per capita kWh,Consumption per capita Watts
China,"7,806,000",2021,EIA,"1,425,893,504",2021.0,"5,474",624
United States,"3,979,000",2021,EIA,"336,997,632",2021.0,"11,267","1,285"
India,"1,443,000",2021,EIA,"1,407,563,904",2021.0,"1,025",117
Russia,"996,000",2021,EIA,"145,102,752",2021.0,"6,864",783
Japan,"913,000",2021,EIA,"124,612,528",2021.0,"7,327",836
Brazil,"577,000",2021,EIA,"214,326,224",2021.0,"2,692",307
"Korea, South","568,000",2021,EIA,"51,830,136",2021.0,"10,959","1,250"
Canada,"555,000",2021,EIA,"38,155,012",2021.0,"14,546","1,659"
Germany,"512,000",2021,EIA,"83,408,560",2021.0,"6,138",700
France,"447,000",2021,EIA,"64,531,448",2021.0,"6,927",790
Saudi Arabia,"329,000",2021,EIA,"35,950,396",2021.0,"9,151","1,044"
Iran,"302,000",2021,EIA,"87,923,432",2021.0,"3,435",392
Mexico,"301,000",2021,EIA,"126,705,136",2021.0,"2,376",271
Italy,"300,000",2021,EIA,"59,240,336",2021.0,"5,064",578
United Kingdom,"287,000",2021,EIA,"67,281,040",2021.0,"4,266",487
Turkey,"284,000",2021,EIA,"84,775,408",2021.0,"3,350",382
Indonesia,"282,000",2021,EIA,"273,753,184",2021.0,"1,030",117
Taiwan,"278,000",2021,EIA,"23,859,904",2021.0,"11,651","1,329"
Australia,"237,000",2021,EIA,"25,921,094",2021.0,"9,143","1,043"
Spain,"234,000",2021,EIA,"47,486,932",2021.0,"4,928",562
Vietnam,"229,000",2021,EIA,"97,468,024",2021.0,"2,349",268
Thailand,"203,000",2021,EIA,"71,601,104",2021.0,"2,835",323
South Africa,"191,000",2021,EIA,"59,392,256",2021.0,"3,216",367
Egypt,"168,000",2021,EIA,"109,262,184",2021.0,"1,538",175
Poland,"158,000",2021,EIA,"38,307,724",2021.0,"4,124",470
Malaysia,"151,000",2021,EIA,"33,573,872",2021.0,"4,498",513
Ukraine,"134,000",2021,EIA,"43,531,424",2021.0,"3,078",351
Pakistan,"132,000",2021,EIA,"231,402,112",2021.0,570,65
Norway,"131,931",2022 est.,EIA,"5,455,582",2022.0,"24,182","2,759"
Sweden,"131,000",2021,EIA,"10,467,095",2021.0,"12,515","1,428"
United Arab Emirates,"129,000",2021,EIA,"9,365,149",2021.0,"13,774","1,571"
Argentina,"127,000",2021,EIA,"45,276,788",2021.0,"2,805",320
Netherlands,"113,000",2021,EIA,"17,501,696",2021.0,"6,457",737
Philippines,"98,000",2021,EIA,"113,880,336",2021.0,861,98
Kazakhstan,"97,000",2021,EIA,"19,196,468",2021.0,"5,053",576
Finland,"84,000",2021,EIA,"5,535,982",2021.0,"15,173","1,731"
Belgium,"83,000",2021,EIA,"11,611,416",2021.0,"7,148",815
Chile,"81,000",2021,EIA,"19,493,184",2021.0,"4,155",474
Bangladesh,"78,000",2021,EIA,"169,356,240",2021.0,461,53
Colombia,"76,000",2021,EIA,"51,516,560",2021.0,"1,475",168
Venezuela,"71,000",2021,EIA,"28,199,862",2021.0,"2,518",287
Austria,"69,000",2021,EIA,"8,922,086",2021.0,"7,734",882
Algeria,"69,000",2021,EIA,"44,177,964",2021.0,"1,562",178
Kuwait,"65,000",2021,EIA,"4,250,111",2021.0,"15,294","1,745"
Israel,"63,000",2021,EIA,"8,900,057",2021.0,"7,079",808
Czech Republic,"62,000",2021,EIA,"10,510,748",2021.0,"5,899",673
Switzerland,"58,000",2021,EIA,"8,691,409",2021.0,"6,673",761
Uzbekistan,"58,000",2021,EIA,"34,081,452",2021.0,"1,702",194
Singapore,"53,000",2021,EIA,"5,941,063",2021.0,"8,921","1,018"
Iraq,"53,000",2021,EIA,"43,533,592",2021.0,"1,217",139
